ward,Zone_No,Division_Name,Pop_1991,Pop_2001,population
1,1,Kodungaiyur west,24857,27753,39740
2,1,Kodungaiyur east,27506,40385,66897
3,1,Dr.Radhakrishnan nagar north,30256,41112,52965
4,1,Cheriyan nagar north,22881,29961,35186
5,1,Grace nagar north,39168,38846,45204
6,1,Cheriyan nagar south,21990,22335,19523
7,1,Grace nagar south,33947,37730,53410
8,1,Korukkupet,30007,31558,34868
9,1,Mottai garden,22984,19301,20306
10,1,Kumaraswamy nagar south,23931,38511,44747
11,1,Dr.Radhakrishnan nagar south,27736,28146,34287
12,1,Kumaraswamy nagar north,22233,32671,36294
13,1,Dr.vijayaraghavalu nagar,19852,21192,23829
14,1,Tondiarpet,27765,32473,35330
15,2,Sanjeevirayanpett,20874,21589,19952
16,2,Grace garden,19832,23959,22947
17,2,Ma.po.si.nagar,22485,24152,24670
18,2,Royapuram,15199,15733,16424
19,2,Singara garden,16475,17741,15467
20,2,Narayanappa nickken garden,15451,16921,13270
21,2,Old washermenpet,17692,19681,16048
22,2,Meenakshiammanpet,25500,27698,26377
23,2,Kondithope,16770,16510,18434
24,2,Sevenwells north,16589,17326,21002
25,2,Ammankoil,18113,17669,19263
26,2,Muthialpet,20291,22932,20239
27,2,Mudukkuthiagadinagar,25475,17090,24436
28,2,Katchaleeswarar nagar,21341,24788,26156
29,2,Sevenwells south,16832,16789,19415
30,2,Sowcarpet,15047,16715,25200
31,2,Besant ridge,22003,20445,22152
32,3,Vysarpadi south,28400,37115,32268
33,3,Vysarpadi north,31570,34667,41617
34,3,Perambur north,35986,38600,49559
35,3,Perambur east,23772,26359,40075
36,3,Elangonagar,34915,39649,52262
37,3,Perambur south,22918,22692,26491
38,3,Nadu.M.ka.nagar,30662,36038,35187
39,3,Wadia nagar,26218,30533,36571
40,3,Sathyavanimuthu nagar,37479,41934,53475
41,3,Pulianthope,21321,28632,21590
42,3,Dr.Besant nagar,15065,24145,27817
43,3,Kodidhalam pet,23804,33400,35863
44,3,Perumalkoil garden,16323,13642,14291
45,3,Thattankulam,24240,20101,17821
46,3,Choolai,15273,11970,12747
47,3,Poongavanam,13917,12308,14375
48,3,Elephantgate,19317,22615,18209
49,3,Sembiyam,15910,15004,16886
50,4,Agaram north,34256,43398,51527
51,4,Sembium,34778,44279,46292
52,4,Niravalloor,20831,21264,21233
53,4,Nagamanimalayar nagar north,20418,23985,23811
54,4,Agaram central,20349,25158,30588
55,4,Virumbukalamuri nagar,28273,29434,23220
56,4,Ayanavaram,25178,32498,38121
57,4,Nagamanimalayar nagar south,22328,29535,21895
58,4,Kumaran nagar,33731,34999,30537
59,4,Marimalaikalpaga nagar north,24999,21258,23595
60,4,Marimalaikalpaga nagar south,27831,29183,29821
61,4,Purasaivakkam,16461,16415,17321
62,4,Kolathur,39625,43161,51034
63,4,Villivakkam north,56687,49502,81648
64,4,Villivakkam south,58304,48185,72344
65,5,Virugambakkam north,41056,48654,56654
66,5,Arunagar west,48563,47127,59206
67,5,Arunagar central,28041,31609,37311
68,5,Amanagar east,36979,34647,32990
69,5,Shanmuga nagar,24899,25342,27131
70,5,Kilpauk north,19750,25583,26313
71,5,Gangadeeswarakoli,15324,13107,12091
72,5,Kilpauk south,24803,28872,32436
73,5,Aminjikarai east,25067,23976,22662
74,5,Aminjikarai central,41361,46416,56466
75,5,Aminjikarai west,38744,45735,60126
76,5,Periyar nagar north,21043,21126,24524
77,5,Periyar nagar north,19535,22457,23819
78,5,Nungambakkam,17455,26486,23476
79,6,Adikesavapuram,22384,25192,19748
80,6,Nehru nagar,18838,30626,20319
81,6,Chinthadripet,21400,22068,17173
82,6,Komaleeswaranpet,18311,20501,16310
83,6,Balasubramaniam nagar,21834,20990,17856
84,6,Thiruvalleeswaran pet,16277,15921,17525
85,6,Dr.Natesan nagar,17195,15937,13704
86,6,Chepauk,16062,15145,14535
87,6,Liam Bazar,17196,15123,14375
88,6,Umapathipuram nagar,18634,20034,22834
89,6,Triplicane,18494,16358,16014
90,6,Marina,18430,16034,17129
91,6,Krishnampet,22148,21557,22285
92,6,Bharathi nagar,17631,18189,18631
93,6,Azad nagar north,17689,17929,17168
94,6,Bharthidasan nagar,17544,21595,22697
95,6,Azad nagar south,12144,12383,11604
96,6,Arunachalarapuram,13204,16608,15629
97,7,Gangadhirapuram nagar,19538,27558,20650
98,7,Mangipet,16492,19514,17666
99,7,Pattalam,17397,19128,15640
100,7,Anbazhagan nagar,12888,13682,9545
101,7,Perumalpet,16112,16094,12701
102,7,Kammanapuram,10602,11947,9377
103,7,Dr.Ambedkar nagar,14128,17093,14878
